"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","158.5","","","","1"
"2023-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","158.4","","","","1"
"2023-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","159.6","","","","1"
"2023-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","159.9","","","","1"
"2023-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","159.7","","","","1"
"2023-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","160.3","","","","1"
"2023-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","160.6","","","","1"
"2023-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","160.0","","","","1"
"2024-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","159.9","","","","1"
"2024-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","160.2","","","","1"
"2024-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","161.4","","","","1"
"2024-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","162.2","","","","1"
"2024-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.2","","","","1"
"2024-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.1","","","","1"
"2024-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.9","","","","1"
"2024-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.3","","","","1"
"2024-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","162.8","","","","1"
"2024-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.5","","","","1"
"2024-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.5","","","","1"
"2024-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","162.7","","","","1"
